Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
446.0000         0.4126       0.2738       0.1388  1073.8
447.0000         0.4124       0.2586       0.1538  1189.7
448.0000         0.4125       0.2823       0.1302  1007.3
449.0000         0.4126       0.2681       0.1445  1118.0
450.0000         0.4126       0.2571       0.1555  1203.0
451.0000         0.4126       0.2714       0.1412  1092.3
452.0000         0.4124       0.2635       0.1489  1152.0
453.0000         0.4127       0.2777       0.1349  1044.0
454.0000         0.4124       0.2568       0.1556  1204.1
455.0000         0.4127       0.2809       0.1319  1020.1
456.0000         0.4127       0.2916       0.1211   937.0
457.0000         0.4124       0.2747       0.1377  1065.3
458.0000         0.4123       0.2533       0.1590  1230.2
459.0000         0.4124       0.2614       0.1510  1168.4
460.0000         0.4126       0.2644       0.1482  1146.2
461.0000         0.4127       0.2775       0.1353  1046.4
462.0000         0.4128       0.2844       0.1283   993.0
463.0000         0.4124       0.2803       0.1321  1022.0
464.0000         0.4126       0.2820       0.1306  1010.3
465.0000         0.4126       0.2788       0.1338  1035.2
466.0000         0.4126       0.2541       0.1585  1225.9
467.0000         0.4126       0.2678       0.1448  1119.9
468.0000         0.4127       0.2796       0.1332  1030.1
469.0000         0.4125       0.2653       0.1472  1138.6
470.0000         0.4125       0.2670       0.1455  1125.7
471.0000         0.4126       0.2711       0.1416  1095.1
472.0000         0.4128       0.2866       0.1262   976.4
473.0000         0.4127       0.2803       0.1323  1023.8
474.0000         0.4126       0.2971       0.1155   893.9
475.0000         0.4127       0.3007       0.1120   866.4
476.0000         0.4126       0.2695       0.1431  1106.9
477.0000         0.4126       0.2882       0.1244   962.7
478.0000         0.4127       0.2779       0.1348  1042.7
479.0000         0.4127       0.2936       0.1191   921.3
480.0000         0.4127       0.2869       0.1257   972.8
481.0000         0.4127       0.2744       0.1383  1069.9
482.0000         0.4126       0.2776       0.1350  1044.6
483.0000         0.4126       0.2720       0.1406  1087.7
484.0000         0.4127       0.2872       0.1255   971.1
485.0000         0.4127       0.2622       0.1505  1164.4
486.0000         0.4126       0.2563       0.1563  1208.8
487.0000         0.4127       0.2671       0.1456  1126.6
488.0000         0.4126       0.2600       0.1526  1180.9
489.0000         0.4127       0.2660       0.1466  1134.3
490.0000         0.4128       0.2975       0.1153   892.1
491.0000         0.4126       0.2646       0.1479  1144.6
492.0000         0.4127       0.2707       0.1420  1098.9
493.0000         0.4127       0.2688       0.1439  1113.3
494.0000         0.4126       0.2517       0.1609  1244.8
495.0000         0.4127       0.2769       0.1359  1051.0
496.0000         0.4126       0.2637       0.1488  1151.5
497.0000         0.4128       0.2819       0.1308  1012.2
498.0000         0.4127       0.2744       0.1383  1070.1
499.0000         0.4127       0.2710       0.1416  1095.8
500.0000         0.4126       0.2653       0.1473  1139.9
