# this is for gemnet-dT! no energy drift it seems
Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
426.0000         0.3934       0.2609       0.1325  1025.0
427.0000         0.3934       0.2601       0.1333  1030.9
428.0000         0.3934       0.2664       0.1270   982.2
429.0000         0.3934       0.2726       0.1208   934.7
430.0000         0.3934       0.2497       0.1436  1111.0
431.0000         0.3935       0.2877       0.1058   818.4
432.0000         0.3935       0.2546       0.1389  1074.4
433.0000         0.3933       0.2715       0.1219   942.9
434.0000         0.3934       0.2380       0.1553  1201.5
435.0000         0.3932       0.2648       0.1284   993.6
436.0000         0.3933       0.2555       0.1378  1066.3
437.0000         0.3935       0.2685       0.1250   966.8
438.0000         0.3934       0.2665       0.1269   982.0
439.0000         0.3933       0.2517       0.1416  1095.4
440.0000         0.3934       0.2500       0.1434  1109.1
441.0000         0.3934       0.2717       0.1217   941.7
442.0000         0.3935       0.2844       0.1091   843.7
443.0000         0.3935       0.2529       0.1406  1087.6
444.0000         0.3934       0.2703       0.1231   952.2
445.0000         0.3934       0.2744       0.1191   921.4
446.0000         0.3935       0.2704       0.1231   952.1
447.0000         0.3935       0.2745       0.1189   920.0
448.0000         0.3935       0.2795       0.1141   882.5
449.0000         0.3935       0.2895       0.1040   804.6
450.0000         0.3934       0.2712       0.1223   946.0
451.0000         0.3933       0.2573       0.1360  1052.5
452.0000         0.3935       0.2751       0.1185   916.5
453.0000         0.3933       0.2678       0.1255   971.1
454.0000         0.3934       0.2662       0.1272   984.4
455.0000         0.3933       0.2603       0.1330  1029.1
456.0000         0.3934       0.2573       0.1360  1052.5
457.0000         0.3935       0.2797       0.1138   880.2
458.0000         0.3935       0.2894       0.1042   805.8
459.0000         0.3934       0.2829       0.1105   855.1
460.0000         0.3934       0.2679       0.1255   971.3
461.0000         0.3934       0.2566       0.1367  1057.8
462.0000         0.3935       0.2687       0.1248   965.2
463.0000         0.3934       0.2750       0.1184   916.2
464.0000         0.3935       0.2853       0.1082   837.4
465.0000         0.3934       0.2636       0.1297  1003.6
466.0000         0.3934       0.2685       0.1249   966.2
467.0000         0.3935       0.2810       0.1125   870.1
468.0000         0.3935       0.2959       0.0976   755.0
469.0000         0.3933       0.2511       0.1421  1099.6
470.0000         0.3934       0.2704       0.1229   950.9
471.0000         0.3935       0.2717       0.1218   942.1
472.0000         0.3934       0.2541       0.1392  1077.1
473.0000         0.3933       0.2639       0.1294  1001.2
474.0000         0.3934       0.2732       0.1202   929.7
475.0000         0.3933       0.2585       0.1348  1043.1
476.0000         0.3933       0.2582       0.1350  1044.6
477.0000         0.3934       0.2784       0.1150   889.9
478.0000         0.3934       0.2862       0.1073   829.8
479.0000         0.3934       0.2547       0.1387  1073.0
480.0000         0.3934       0.2588       0.1347  1041.9
481.0000         0.3934       0.2767       0.1168   903.4
482.0000         0.3935       0.2861       0.1075   831.3
483.0000         0.3935       0.2575       0.1360  1052.4
484.0000         0.3935       0.2502       0.1433  1108.3
485.0000         0.3935       0.2676       0.1259   974.2
486.0000         0.3934       0.2686       0.1248   965.5
487.0000         0.3933       0.2565       0.1368  1058.3
488.0000         0.3935       0.2661       0.1273   985.1
489.0000         0.3934       0.2578       0.1356  1049.2
490.0000         0.3934       0.2715       0.1219   943.0
491.0000         0.3932       0.2486       0.1445  1118.3
492.0000         0.3935       0.2691       0.1244   962.5
493.0000         0.3930       0.2943       0.0987   763.3
494.0000         0.3930       0.2784       0.1146   886.3
495.0000         0.3934       0.2857       0.1077   833.3
496.0000         0.3934       0.2632       0.1302  1007.5
497.0000         0.3935       0.2711       0.1224   946.6
498.0000         0.3935       0.2831       0.1104   853.8
499.0000         0.3934       0.2679       0.1255   971.1
500.0000         0.3934       0.2691       0.1244   962.1
